Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR17470195	Sequencing data of HG02521	Illumina MiSeq	1343	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470195/SRR17470195.sra	SRR17470195.sra	SRR17470195_Sequencing_data_of_HG02521.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/095/SRR17470195/SRR17470195_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/095/SRR17470195/SRR17470195_1.fastq.gz	SRR17470195_1.fastq.gz	SRR17470195_Sequencing_data_of_HG02521_1.fastq.gz
SRR17470195	Sequencing data of HG02521	Illumina MiSeq	1343	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470195/SRR17470195.sra	SRR17470195.sra	SRR17470195_Sequencing_data_of_HG02521.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/095/SRR17470195/SRR17470195_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/095/SRR17470195/SRR17470195_2.fastq.gz	SRR17470195_2.fastq.gz	SRR17470195_Sequencing_data_of_HG02521_2.fastq.gz
SRR17470192	Sequencing data of NA18559	Illumina MiSeq	1026	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470192/SRR17470192.sra	SRR17470192.sra	SRR17470192_Sequencing_data_of_NA18559.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17470192/SRR17470192_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/092/SRR17470192/SRR17470192_1.fastq.gz	SRR17470192_1.fastq.gz	SRR17470192_Sequencing_data_of_NA18559_1.fastq.gz
SRR17470192	Sequencing data of NA18559	Illumina MiSeq	1026	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470192/SRR17470192.sra	SRR17470192.sra	SRR17470192_Sequencing_data_of_NA18559.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/092/SRR17470192/SRR17470192_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/092/SRR17470192/SRR17470192_2.fastq.gz	SRR17470192_2.fastq.gz	SRR17470192_Sequencing_data_of_NA18559_2.fastq.gz
SRR17470190	Sequencing data of NA19172	Illumina MiSeq	1149	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470190/SRR17470190.sra	SRR17470190.sra	SRR17470190_Sequencing_data_of_NA19172.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/090/SRR17470190/SRR17470190_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/090/SRR17470190/SRR17470190_1.fastq.gz	SRR17470190_1.fastq.gz	SRR17470190_Sequencing_data_of_NA19172_1.fastq.gz
SRR17470190	Sequencing data of NA19172	Illumina MiSeq	1149	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470190/SRR17470190.sra	SRR17470190.sra	SRR17470190_Sequencing_data_of_NA19172.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/090/SRR17470190/SRR17470190_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/090/SRR17470190/SRR17470190_2.fastq.gz	SRR17470190_2.fastq.gz	SRR17470190_Sequencing_data_of_NA19172_2.fastq.gz
SRR17470191	Sequencing data of NA18544	Illumina MiSeq	993	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470191/SRR17470191.sra	SRR17470191.sra	SRR17470191_Sequencing_data_of_NA18544.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17470191/SRR17470191_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/091/SRR17470191/SRR17470191_1.fastq.gz	SRR17470191_1.fastq.gz	SRR17470191_Sequencing_data_of_NA18544_1.fastq.gz
SRR17470191	Sequencing data of NA18544	Illumina MiSeq	993	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470191/SRR17470191.sra	SRR17470191.sra	SRR17470191_Sequencing_data_of_NA18544.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/091/SRR17470191/SRR17470191_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/091/SRR17470191/SRR17470191_2.fastq.gz	SRR17470191_2.fastq.gz	SRR17470191_Sequencing_data_of_NA18544_2.fastq.gz
SRR17470194	Sequencing data of HG00190	Illumina MiSeq	1221	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470194/SRR17470194.sra	SRR17470194.sra	SRR17470194_Sequencing_data_of_HG00190.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/094/SRR17470194/SRR17470194_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/094/SRR17470194/SRR17470194_1.fastq.gz	SRR17470194_1.fastq.gz	SRR17470194_Sequencing_data_of_HG00190_1.fastq.gz
SRR17470194	Sequencing data of HG00190	Illumina MiSeq	1221	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470194/SRR17470194.sra	SRR17470194.sra	SRR17470194_Sequencing_data_of_HG00190.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/094/SRR17470194/SRR17470194_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/094/SRR17470194/SRR17470194_2.fastq.gz	SRR17470194_2.fastq.gz	SRR17470194_Sequencing_data_of_HG00190_2.fastq.gz
SRR17470193	Sequencing data of HG03653	Illumina MiSeq	1025	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470193/SRR17470193.sra	SRR17470193.sra	SRR17470193_Sequencing_data_of_HG03653.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/093/SRR17470193/SRR17470193_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/093/SRR17470193/SRR17470193_1.fastq.gz	SRR17470193_1.fastq.gz	SRR17470193_Sequencing_data_of_HG03653_1.fastq.gz
SRR17470193	Sequencing data of HG03653	Illumina MiSeq	1025	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470193/SRR17470193.sra	SRR17470193.sra	SRR17470193_Sequencing_data_of_HG03653.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/093/SRR17470193/SRR17470193_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/093/SRR17470193/SRR17470193_2.fastq.gz	SRR17470193_2.fastq.gz	SRR17470193_Sequencing_data_of_HG03653_2.fastq.gz
SRR17470189	Sequencing data of HG02260	Illumina MiSeq	979	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470189/SRR17470189.sra	SRR17470189.sra	SRR17470189_Sequencing_data_of_HG02260.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/089/SRR17470189/SRR17470189_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/089/SRR17470189/SRR17470189_1.fastq.gz	SRR17470189_1.fastq.gz	SRR17470189_Sequencing_data_of_HG02260_1.fastq.gz
SRR17470189	Sequencing data of HG02260	Illumina MiSeq	979	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470189/SRR17470189.sra	SRR17470189.sra	SRR17470189_Sequencing_data_of_HG02260.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/089/SRR17470189/SRR17470189_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/089/SRR17470189/SRR17470189_2.fastq.gz	SRR17470189_2.fastq.gz	SRR17470189_Sequencing_data_of_HG02260_2.fastq.gz
SRR17470187	Sequencing data of HG00250	Illumina MiSeq	1541	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470187/SRR17470187.sra	SRR17470187.sra	SRR17470187_Sequencing_data_of_HG00250.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/087/SRR17470187/SRR17470187_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/087/SRR17470187/SRR17470187_1.fastq.gz	SRR17470187_1.fastq.gz	SRR17470187_Sequencing_data_of_HG00250_1.fastq.gz
SRR17470187	Sequencing data of HG00250	Illumina MiSeq	1541	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470187/SRR17470187.sra	SRR17470187.sra	SRR17470187_Sequencing_data_of_HG00250.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/087/SRR17470187/SRR17470187_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/087/SRR17470187/SRR17470187_2.fastq.gz	SRR17470187_2.fastq.gz	SRR17470187_Sequencing_data_of_HG00250_2.fastq.gz
SRR17470188	Sequencing data of HG02395	Illumina MiSeq	1062	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470188/SRR17470188.sra	SRR17470188.sra	SRR17470188_Sequencing_data_of_HG02395.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/088/SRR17470188/SRR17470188_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/088/SRR17470188/SRR17470188_1.fastq.gz	SRR17470188_1.fastq.gz	SRR17470188_Sequencing_data_of_HG02395_1.fastq.gz
SRR17470188	Sequencing data of HG02395	Illumina MiSeq	1062	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470188/SRR17470188.sra	SRR17470188.sra	SRR17470188_Sequencing_data_of_HG02395.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/088/SRR17470188/SRR17470188_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/088/SRR17470188/SRR17470188_2.fastq.gz	SRR17470188_2.fastq.gz	SRR17470188_Sequencing_data_of_HG02395_2.fastq.gz
SRR17470185	Sequencing data of HG03246	Illumina MiSeq	1005	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470185/SRR17470185.sra	SRR17470185.sra	SRR17470185_Sequencing_data_of_HG03246.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/085/SRR17470185/SRR17470185_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/085/SRR17470185/SRR17470185_1.fastq.gz	SRR17470185_1.fastq.gz	SRR17470185_Sequencing_data_of_HG03246_1.fastq.gz
SRR17470185	Sequencing data of HG03246	Illumina MiSeq	1005	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470185/SRR17470185.sra	SRR17470185.sra	SRR17470185_Sequencing_data_of_HG03246.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/085/SRR17470185/SRR17470185_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/085/SRR17470185/SRR17470185_2.fastq.gz	SRR17470185_2.fastq.gz	SRR17470185_Sequencing_data_of_HG03246_2.fastq.gz
SRR17470186	Sequencing data of NA18939	Illumina MiSeq	1112	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470186/SRR17470186.sra	SRR17470186.sra	SRR17470186_Sequencing_data_of_NA18939.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/086/SRR17470186/SRR17470186_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/086/SRR17470186/SRR17470186_1.fastq.gz	SRR17470186_1.fastq.gz	SRR17470186_Sequencing_data_of_NA18939_1.fastq.gz
SRR17470186	Sequencing data of NA18939	Illumina MiSeq	1112	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470186/SRR17470186.sra	SRR17470186.sra	SRR17470186_Sequencing_data_of_NA18939.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/086/SRR17470186/SRR17470186_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/086/SRR17470186/SRR17470186_2.fastq.gz	SRR17470186_2.fastq.gz	SRR17470186_Sequencing_data_of_NA18939_2.fastq.gz
SRR17470184	Sequencing data of NA18960	Illumina MiSeq	1527	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470184/SRR17470184.sra	SRR17470184.sra	SRR17470184_Sequencing_data_of_NA18960.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/084/SRR17470184/SRR17470184_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/084/SRR17470184/SRR17470184_1.fastq.gz	SRR17470184_1.fastq.gz	SRR17470184_Sequencing_data_of_NA18960_1.fastq.gz
SRR17470184	Sequencing data of NA18960	Illumina MiSeq	1527	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470184/SRR17470184.sra	SRR17470184.sra	SRR17470184_Sequencing_data_of_NA18960.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/084/SRR17470184/SRR17470184_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/084/SRR17470184/SRR17470184_2.fastq.gz	SRR17470184_2.fastq.gz	SRR17470184_Sequencing_data_of_NA18960_2.fastq.gz
SRR17470183	Sequencing data of HG00759	Illumina MiSeq	1260	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470183/SRR17470183.sra	SRR17470183.sra	SRR17470183_Sequencing_data_of_HG00759.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/083/SRR17470183/SRR17470183_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/083/SRR17470183/SRR17470183_1.fastq.gz	SRR17470183_1.fastq.gz	SRR17470183_Sequencing_data_of_HG00759_1.fastq.gz
SRR17470183	Sequencing data of HG00759	Illumina MiSeq	1260	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470183/SRR17470183.sra	SRR17470183.sra	SRR17470183_Sequencing_data_of_HG00759.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/083/SRR17470183/SRR17470183_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/083/SRR17470183/SRR17470183_2.fastq.gz	SRR17470183_2.fastq.gz	SRR17470183_Sequencing_data_of_HG00759_2.fastq.gz
SRR17470182	Sequencing data of HG01107	Illumina MiSeq	1515	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470182/SRR17470182.sra	SRR17470182.sra	SRR17470182_Sequencing_data_of_HG01107.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/082/SRR17470182/SRR17470182_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/082/SRR17470182/SRR17470182_1.fastq.gz	SRR17470182_1.fastq.gz	SRR17470182_Sequencing_data_of_HG01107_1.fastq.gz
SRR17470182	Sequencing data of HG01107	Illumina MiSeq	1515	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470182/SRR17470182.sra	SRR17470182.sra	SRR17470182_Sequencing_data_of_HG01107.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/082/SRR17470182/SRR17470182_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/082/SRR17470182/SRR17470182_2.fastq.gz	SRR17470182_2.fastq.gz	SRR17470182_Sequencing_data_of_HG01107_2.fastq.gz
SRR17470178	Sequencing data of HG02006	Illumina MiSeq	1164	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470178/SRR17470178.sra	SRR17470178.sra	SRR17470178_Sequencing_data_of_HG02006.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/078/SRR17470178/SRR17470178_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/078/SRR17470178/SRR17470178_1.fastq.gz	SRR17470178_1.fastq.gz	SRR17470178_Sequencing_data_of_HG02006_1.fastq.gz
SRR17470178	Sequencing data of HG02006	Illumina MiSeq	1164	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470178/SRR17470178.sra	SRR17470178.sra	SRR17470178_Sequencing_data_of_HG02006.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/078/SRR17470178/SRR17470178_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/078/SRR17470178/SRR17470178_2.fastq.gz	SRR17470178_2.fastq.gz	SRR17470178_Sequencing_data_of_HG02006_2.fastq.gz
SRR17470180	Sequencing data of NA18864	Illumina MiSeq	1271	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470180/SRR17470180.sra	SRR17470180.sra	SRR17470180_Sequencing_data_of_NA18864.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/080/SRR17470180/SRR17470180_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/080/SRR17470180/SRR17470180_1.fastq.gz	SRR17470180_1.fastq.gz	SRR17470180_Sequencing_data_of_NA18864_1.fastq.gz
SRR17470180	Sequencing data of NA18864	Illumina MiSeq	1271	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470180/SRR17470180.sra	SRR17470180.sra	SRR17470180_Sequencing_data_of_NA18864.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/080/SRR17470180/SRR17470180_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/080/SRR17470180/SRR17470180_2.fastq.gz	SRR17470180_2.fastq.gz	SRR17470180_Sequencing_data_of_NA18864_2.fastq.gz
SRR17470177	Sequencing data of HG02283	Illumina MiSeq	1182	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470177/SRR17470177.sra	SRR17470177.sra	SRR17470177_Sequencing_data_of_HG02283.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/077/SRR17470177/SRR17470177_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/077/SRR17470177/SRR17470177_1.fastq.gz	SRR17470177_1.fastq.gz	SRR17470177_Sequencing_data_of_HG02283_1.fastq.gz
SRR17470177	Sequencing data of HG02283	Illumina MiSeq	1182	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470177/SRR17470177.sra	SRR17470177.sra	SRR17470177_Sequencing_data_of_HG02283.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/077/SRR17470177/SRR17470177_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/077/SRR17470177/SRR17470177_2.fastq.gz	SRR17470177_2.fastq.gz	SRR17470177_Sequencing_data_of_HG02283_2.fastq.gz
